,pred,label
0,0.027655260637402534,0
1,0.03772658854722977,0
2,0.01065551582723856,0
3,0.442749559879303,1
4,0.12990477681159973,0
5,0.07266546040773392,1
6,0.16746091842651367,0
7,0.00037672207690775394,0
8,0.37193921208381653,0
9,0.6554743051528931,1
10,0.640905499458313,1
11,0.10347554832696915,0
12,0.8432760834693909,0
13,0.3525261878967285,0
14,0.2379685342311859,0
15,0.30721989274024963,0
16,0.1973622888326645,1
17,0.004007346462458372,0
18,0.14107395708560944,0
19,0.03901200369000435,0
20,0.03882862254977226,0
21,0.20439200103282928,0
22,0.8106445074081421,1
23,0.3868332505226135,0
24,0.38019615411758423,1
25,0.007384980097413063,0
26,0.06633954495191574,1
27,0.694539487361908,1
28,0.6256441473960876,1
29,0.6636327505111694,0
30,0.6577485203742981,0
31,0.08991892635822296,1
32,0.21305698156356812,0
33,0.08488670736551285,0
34,0.009215028956532478,0
35,0.07590628415346146,0
36,0.020116575062274933,0
37,0.45066627860069275,1
38,0.8626124858856201,1
39,0.7095074653625488,1
40,0.8487020134925842,1
41,0.03602607175707817,0
42,0.15585769712924957,0
43,0.7437650561332703,1
44,0.8049407005310059,1
45,0.6320923566818237,1
46,0.49680954217910767,0
47,0.019526567310094833,0
48,0.26972413063049316,0
49,0.0036049848422408104,0
50,0.15806686878204346,0
51,0.5127600431442261,1
52,0.14079584181308746,0
53,0.006116476375609636,0
54,0.04067305848002434,0
55,0.4323589503765106,1
56,0.5326845645904541,0
57,0.14792320132255554,1
58,0.24788415431976318,0
59,0.44911882281303406,1
60,0.0013245088048279285,0
61,0.7793729305267334,0
62,0.6331204771995544,1
63,0.08511371165513992,0
64,0.061523303389549255,0
65,0.2481364607810974,0
66,0.5645866394042969,1
67,0.44735077023506165,0
68,0.5206174254417419,1
69,0.4630804657936096,1
70,0.864780604839325,1
71,0.04455622658133507,0
72,0.14772331714630127,0
73,0.6233016848564148,1
74,0.4608551561832428,1
75,0.766160786151886,1
76,0.02402285300195217,0
77,0.6196774244308472,1
78,0.04826800152659416,0
79,0.034459322690963745,0
80,0.1548295021057129,1
81,0.8159616589546204,1
82,0.7122048735618591,1
83,0.0009717252105474472,0
84,0.6308763027191162,1
85,0.35381966829299927,0
86,0.7529840469360352,1
87,0.17271454632282257,0
88,0.002839591819792986,0
89,0.851132333278656,1
90,0.3368692994117737,0
91,0.0007982973475009203,0
92,0.21919897198677063,0
93,0.16707661747932434,1
94,0.44586530327796936,0
95,0.12900999188423157,1
96,0.12485849857330322,0
97,0.3988521993160248,1
98,0.8403544425964355,1
99,0.0012969471281394362,0
100,0.7269335389137268,1
101,0.018840106204152107,0
102,0.642591118812561,1
103,0.9503362774848938,1
104,0.009022661484777927,0
105,0.865217387676239,1
106,0.8871632814407349,1
107,0.4927036166191101,0
108,0.27842676639556885,1
109,0.395377516746521,0
110,0.4382883608341217,1
111,0.6336792707443237,1
112,0.6452217698097229,0
113,0.36681339144706726,1
114,0.7353502511978149,1
115,0.012482168152928352,0
116,0.25701892375946045,1
117,0.019207851961255074,0
118,0.792822003364563,1
119,0.11757691949605942,1
120,0.35611262917518616,1
121,0.23898771405220032,0
122,0.020296519622206688,0
123,0.14979985356330872,0
124,0.10339740663766861,0
125,0.2515929639339447,1
126,0.0006494373083114624,0
127,0.8811387419700623,1
128,0.358476459980011,1
129,0.9061707854270935,1
130,0.41252201795578003,0
131,0.43169650435447693,1
132,0.13489951193332672,0
133,0.029416335746645927,0
134,0.7243819236755371,1
135,0.2500901520252228,0
136,0.20208057761192322,1
137,0.011256766505539417,0
138,0.017899733036756516,0
139,0.153342604637146,0
140,0.7871108651161194,1
141,0.35955050587654114,0
142,0.8791727423667908,1
143,0.05863865837454796,0
144,0.8604309558868408,1
145,0.8322562575340271,0
146,0.2997235655784607,0
147,0.20142588019371033,0
148,0.02167230099439621,0
149,0.08652881532907486,0
150,0.7018818259239197,1
151,0.5279690027236938,1
152,0.2536884844303131,0
153,0.6560686826705933,1
154,0.10852694511413574,1
155,0.46474048495292664,0
156,0.29810190200805664,1
157,0.7718573212623596,1
158,0.060691628605127335,0
159,0.06351213902235031,0
160,0.5511994361877441,1
161,0.12376979738473892,1
162,0.7722105979919434,1
163,0.027815796434879303,1
164,0.30881017446517944,0
165,0.1652337610721588,1
166,0.21202608942985535,0
167,0.014711824245750904,0
168,0.6580991148948669,1
169,0.41182658076286316,0
170,0.5104686617851257,0
171,0.3680211901664734,0
172,0.3699449300765991,0
173,0.048018816858530045,0
174,0.4867021143436432,1
175,0.07168463617563248,0
176,0.794964075088501,1
177,0.555147647857666,1
178,0.45300790667533875,1
179,0.591472327709198,0
180,0.37246620655059814,0
181,0.03015213832259178,0
